1x2oddsb4,1x2oddsb4,1x2oddsb4,1x2oddafter,1x2oddafter,1x2oddafter,diffodd,diffodd,diffodd,avgoddrateb4,avgoddrateafter,diffoddrate,hilob4,hiloafter,diffhilo,result
2.15,3.156,3.26,2.146,3.25,3.24,0.004,-0.094,0.02,0.25,0.3,-0.05,2.25,2.25,0,1
5.06,1.656,3.57,11.14,1.254,5.12,-6.08,0.402,-1.55,-0.85,-1.45,0.6,2.25,2.25,0,0
1.292,8.74,4.9,1.46,6.1,4.26,-0.168,2.64,0.64,1.5,1.1,0.4,2.5,2.65,-0.15,1
1.572,4.7,3.76,1.532,5.1,3.84,0.04,-0.4,-0.08,0.95,1,-0.05,2.5,2.5,0,1
1.22,10.8,6.32,1.174,15.1,7.98,0.046,-4.3,-1.66,1.8,2.25,-0.45,3.3,3.55,-0.25,1
1.934,3.73,3.52,1.83,3.99,4.04,0.104,-0.26,-0.52,0.4,0.7,-0.3,2.6,3.25,-0.65,1
1.98,3.74,3.28,2.122,3.33,3.3,-0.142,0.41,-0.02,0.5,0.3,0.2,2.3,2.5,-0.2,0
1.874,3.94,3.4,1.634,5.17,3.72,0.24,-1.23,-0.32,0.5,0.75,-0.25,2.5,2.5,0,0
2.194,3.264,3.22,3.16,2.27,3.156,-0.966,0.994,0.064,0.25,-0.25,0.5,2.3,2.25,0.05,0
2.15,3.24,3.24,2.256,3.038,3.28,-0.106,0.202,-0.04,0.25,0.25,0,2.25,2.45,-0.2,1
3.48,2.018,3.46,2.718,2.53,3.41,0.762,-0.512,0.05,-0.45,-0.1,-0.35,2.7,2.5,0.2,1
3.9,1.728,3.62,4.14,1.67,3.75,-0.24,0.058,-0.13,-0.7,-0.75,0.05,2.75,2.75,0,0
2.576,2.522,3.05,2.804,2.424,2.962,-0.228,0.098,0.088,0,0,0,2.25,2,0.25,0
2.094,2.974,3.33,2.24,2.946,3.106,-0.146,0.028,0.224,0.25,0.25,0,2.5,2.25,0.25,0
1.368,6.46,4.4,1.354,6.42,4.58,0.014,0.04,-0.18,1.25,1.25,0,2.75,2.9,-0.15,0
2.008,3.5,3.4,2.372,2.972,3.12,-0.364,0.528,0.28,0.5,0.25,0.25,2.5,2.25,0.25,0
1.79,3.89,3.58,1.826,3.72,3.56,-0.036,0.17,0.02,0.6,0.65,-0.05,2.5,2.5,0,1
2.38,2.94,3.156,2.536,2.736,3.16,-0.156,0.204,-0.004,0.25,0,0.25,2.25,2.25,0,0
2.11,3.29,3.33,1.96,3.6,3.49,0.15,-0.31,-0.16,0.3,0.5,-0.2,2.35,2.5,-0.15,0
1.9,3.7,3.32,2.47,2.774,3.048,-0.57,0.926,0.272,0.5,0.1,0.4,2.35,2.25,0.1,0
1.802,4.08,3.28,2.178,3.26,2.932,-0.376,0.82,0.348,0.5,0.35,0.15,2,2,0,1
2.204,2.966,3.14,2.196,2.946,3.16,0.008,0.02,-0.02,0.25,0.25,0,2.25,2.25,0,0
2.404,2.594,3.176,2.514,2.606,3.018,-0.11,-0.012,0.158,0,0,0,2.5,2.25,0.25,0
1.832,3.93,3.13,1.862,4.016,2.996,-0.03,-0.086,0.134,0.55,0.5,0.05,2,2,0,1
2.178,3.45,2.72,1.844,4.49,2.84,0.334,-1.04,-0.12,0.25,0.5,-0.25,1.75,1.75,0,1
2.888,2.44,3.14,3.196,2.374,3.23,-0.308,0.066,-0.09,0,-0.25,0.25,2.25,2.25,0,0
3.98,1.826,3.66,4.81,1.706,4.02,-0.83,0.12,-0.36,-0.6,-0.75,0.15,2.75,2.75,0,0
2.324,3.152,2.994,2.228,3.39,3.056,0.096,-0.238,-0.062,0.25,0.25,0,2,2,0,0
2.926,2.404,3.064,2.728,2.6,3.126,0.198,-0.196,-0.062,-0.25,0,-0.25,2.2,2.25,-0.05,0
1.576,5.38,3.75,1.548,6.04,3.84,0.028,-0.66,-0.09,1,1,0,2.35,2.5,-0.15,1
2.588,2.558,3.29,2.836,2.458,3.17,-0.248,0.1,0.12,0,0,0,2.75,2.5,0.25,1
1.404,6.32,4.1,1.306,7.64,4.7,0.098,-1.32,-0.6,1.2,1.45,-0.25,2.5,2.75,-0.25,1
1.75,4.23,3.77,1.744,4.43,3.88,0.006,-0.2,-0.11,0.65,0.75,-0.1,2.75,2.75,0,0
2.758,2.402,2.868,2.95,2.382,2.752,-0.192,0.02,0.116,0,-0.15,0.15,2,1.9,0.1,1
2.842,2.4,3.206,3.17,2.136,3.36,-0.328,0.264,-0.154,-0.1,-0.25,0.15,2.5,2.5,0,0
3.39,2.196,2.766,4.18,2.076,2.542,-0.79,0.12,0.224,-0.25,-0.25,0,1.75,1.7,0.05,1
